,LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature,city
0,2022-08-04T09:55:00+08:00,1659578100, MOstlY ClOudy ,6,False,,True,"{'Metric': {'Value': 12.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 54.0, 'Unit': 'F', 'UnitType': 18}}", pERTH 
1,2022-08-04T09:00:00+08:00,1659574800, CloUDY ,7,False,,True,"{'Metric': {'Value': 12.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 54.0, 'Unit': 'F', 'UnitType': 18}}", PeRtH 
2,2022-08-04T07:55:00+08:00,1659570900, liGhT rAIN sHOwer ,12,True,Rain,True,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", pErTh 
3,2022-08-04T06:55:00+08:00,1659567300, LIghT raiN ShowER ,12,True,Rain,False,"{'Metric': {'Value': 10.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 50.0, 'Unit': 'F', 'UnitType': 18}}", perth 
4,2022-08-04T06:00:00+08:00,1659564000, rAIN sHoWER ,18,True,Rain,False,"{'Metric': {'Value': 10.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 50.0, 'Unit': 'F', 'UnitType': 18}}", PERTH 
5,2022-08-04T04:55:00+08:00,1659560100, liGHT raiN ,12,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", pERth 
6,2022-08-04T03:55:00+08:00,1659556500, ligHt RAIn ,12,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", PERth 
7,2022-08-04T03:00:00+08:00,1659553200, RaiN ,18,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", perTh 
8,2022-08-04T01:55:00+08:00,1659549300, rain ShoWEr ,18,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", PertH 
9,2022-08-04T00:55:00+08:00,1659545700, A shOwer ,12,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", pErTH 
